"region","code5"
"서울특별시","11000"
"서울특별시종로구","11110"
"서울특별시중구","11140"
"서울특별시용산구","11170"
"서울특별시성동구","11200"
"서울특별시광진구","11215"
"서울특별시동대문구","11230"
"서울특별시중랑구","11260"
"서울특별시성북구","11290"
"서울특별시강북구","11305"
"서울특별시도봉구","11320"
"서울특별시노원구","11350"
"서울특별시은평구","11380"
"서울특별시서대문구","11410"
"서울특별시마포구","11440"
"서울특별시양천구","11470"
"서울특별시강서구","11500"
"서울특별시구로구","11530"
"서울특별시금천구","11545"
"서울특별시영등포구","11560"
"서울특별시동작구","11590"
"서울특별시관악구","11620"
"서울특별시서초구","11650"
"서울특별시강남구","11680"
"서울특별시송파구","11710"
"서울특별시강동구","11740"
"부산직할시","21000"
"부산직할시중구","21110"
"부산직할시서구","21140"
"부산직할시동구","21170"
"부산직할시영도구","21200"
"부산직할시부산진구","21230"
"부산직할시동래구","21260"
"부산직할시남구","21290"
"부산직할시북구","21320"
"부산직할시해운대구","21350"
"부산직할시사하구","21380"
"부산직할시금정구","21410"
"부산직할시강서구","21440"
"대구직할시","22000"
"대구직할시중구","22110"
"대구직할시동구","22140"
"대구직할시서구","22170"
"대구직할시남구","22200"
"대구직할시북구","22230"
"대구직할시수성구","22260"
"대구직할시달서구","22290"
"인천직할시","23000"
"인천직할시중구","23110"
"인천직할시동구","23140"
"인천직할시남구","23170"
"인천직할시남동구","23200"
"인천직할시북구","23230"
"인천직할시서구","23260"
"광주직할시","24000"
"광주직할시동구","24110"
"광주직할시서구","24140"
"광주직할시북구","24170"
"광주직할시광산구","24200"
"대전직할시","25000"
"대전직할시동구","25110"
"대전직할시중구","25140"
"대전직할시서구","25170"
"대전직할시유성구","25200"
"대전직할시대덕구","25230"
"부산광역시","26000"
"부산광역시중구","26110"
"부산광역시서구","26140"
"부산광역시동구","26170"
"부산광역시영도구","26200"
"부산광역시부산진구","26230"
"부산광역시동래구","26260"
"부산광역시남구","26290"
"부산광역시북구","26320"
"부산광역시해운대구","26350"
"부산광역시사하구","26380"
"부산광역시금정구","26410"
"부산광역시강서구","26440"
"부산광역시연제구","26470"
"부산광역시수영구","26500"
"부산광역시사상구","26530"
"부산광역시기장군","26710"
"대구광역시","27000"
"대구광역시중구","27110"
"대구광역시동구","27140"
"대구광역시서구","27170"
"대구광역시남구","27200"
"대구광역시북구","27230"
"대구광역시수성구","27260"
"대구광역시달서구","27290"
"대구광역시달성군","27710"
"인천광역시","28000"
"인천광역시중구","28110"
"인천광역시동구","28140"
"인천광역시남구","28170"
"인천광역시미추홀구","28177"
"인천광역시연수구","28185"
"인천광역시남동구","28200"
"인천광역시북구","28230"
"인천광역시부평구","28237"
"인천광역시계양구","28245"
"인천광역시서구","28260"
"인천광역시강화군","28710"
"인천광역시옹진군","28720"
"광주광역시","29000"
"광주광역시동구","29110"
"광주광역시서구","29140"
"광주광역시남구","29155"
"광주광역시북구","29170"
"광주광역시광산구","29200"
"대전광역시","30000"
"대전광역시동구","30110"
"대전광역시중구","30140"
"대전광역시서구","30170"
"대전광역시유성구","30200"
"대전광역시대덕구","30230"
"울산광역시","31000"
"울산광역시중구","31110"
"울산광역시남구","31140"
"울산광역시동구","31170"
"울산광역시북구","31200"
"울산광역시울주군","31710"
"세종특별자치시","36110"
"세종특별자치시반곡동","36110"
"세종특별자치시소담동","36110"
"세종특별자치시보람동","36110"
"세종특별자치시대평동","36110"
"세종특별자치시가람동","36110"
"세종특별자치시한솔동","36110"
"세종특별자치시나성동","36110"
"세종특별자치시새롬동","36110"
"세종특별자치시다정동","36110"
"세종특별자치시어진동","36110"
"세종특별자치시종촌동","36110"
"세종특별자치시고운동","36110"
"세종특별자치시아름동","36110"
"세종특별자치시도담동","36110"
"세종특별자치시조치원읍","36110"
"세종특별자치시연기면","36110"
"세종특별자치시연동면","36110"
"세종특별자치시부강면","36110"
"세종특별자치시금남면","36110"
"세종특별자치시장군면","36110"
"세종특별자치시연서면","36110"
"세종특별자치시전의면","36110"
"세종특별자치시전동면","36110"
"세종특별자치시소정면","36110"
"경기도","41000"
"경기도인천시","41010"
"경기도인천시","41011"
"경기도인천시","41012"
"경기도인천시","41013"
"경기도인천시","41014"
"경기도부천군","41050"
"경기도수원시","41110"
"경기도수원시","41111"
"경기도수원시","41113"
"경기도수원시","41115"
"경기도수원시","41117"
"경기도성남시","41130"
"경기도성남시","41131"
"경기도성남시","41133"
"경기도성남시","41135"
"경기도의정부시","41150"
"경기도안양시","41170"
"경기도안양시","41171"
"경기도안양시","41173"
"경기도부천시","41190"
"경기도부천시","41191"
"경기도부천시","41193"
"경기도부천시","41195"
"경기도부천시","41197"
"경기도부천시","41199"
"경기도광명시","41210"
"경기도평택시","41220"
"경기도송탄시","41230"
"경기도동두천시","41250"
"경기도안산시","41270"
"경기도안산시","41271"
"경기도안산시","41273"
"경기도고양시","41280"
"경기도고양시","41281"
"경기도고양시","41283"
"경기도고양시","41285"
"경기도고양시","41287"
"경기도과천시","41290"
"경기도구리시","41310"
"경기도평택시","41330"
"경기도미금시","41350"
"경기도남양주시","41360"
"경기도오산시","41370"
"경기도시흥시","41390"
"경기도군포시","41410"
"경기도의왕시","41430"
"경기도하남시","41450"
"경기도용인시","41460"
"경기도용인시","41461"
"경기도용인시","41463"
"경기도용인시","41465"
"경기도파주시","41480"
"경기도이천시","41500"
"경기도안성시","41550"
"경기도김포시","41570"
"경기도화성시","41590"
"경기도광주시","41610"
"경기도양주시","41630"
"경기도포천시","41650"
"경기도여주시","41670"
"경기도양주군","41710"
"경기도남양주군","41720"
"경기도여주군","41730"
"경기도평택군","41740"
"경기도화성군","41750"
"경기도시흥군","41760"
"경기도파주군","41770"
"경기도고양군","41780"
"경기도광주군","41790"
"경기도연천군","41800"
"경기도포천군","41810"
"경기도가평군","41820"
"경기도양평군","41830"
"경기도이천군","41840"
"경기도용인군","41850"
"경기도안성군","41860"
"경기도김포군","41870"
"경기도강화군","41880"
"경기도옹진군","41890"
"강원도","42000"
"강원도울진군","42050"
"강원도춘천시","42110"
"강원도원주시","42130"
"강원도강릉시","42150"
"강원도동해시","42170"
"강원도태백시","42190"
"강원도속초시","42210"
"강원도삼척시","42230"
"강원도춘성군","42710"
"강원도춘천군","42715"
"강원도홍천군","42720"
"강원도횡성군","42730"
"강원도원성군","42740"
"강원도원주군","42745"
"강원도영월군","42750"
"강원도평창군","42760"
"강원도정선군","42770"
"강원도철원군","42780"
"강원도화천군","42790"
"강원도양구군","42800"
"강원도인제군","42810"
"강원도고성군","42820"
"강원도양양군","42830"
"강원도명주군","42840"
"강원도삼척군","42850"
"충청북도","43000"
"충청북도제천군","43050"
"충청북도청주시","43110"
"충청북도청주시","43111"
"충청북도청주시","43112"
"충청북도청주시","43113"
"충청북도청주시","43114"
"충청북도충주시","43130"
"충청북도제천시","43150"
"충청북도청원군","43710"
"충청북도보은군","43720"
"충청북도옥천군","43730"
"충청북도영동군","43740"
"충청북도증평군","43745"
"충청북도진천군","43750"
"충청북도괴산군","43760"
"충청북도음성군","43770"
"충청북도중원군","43780"
"충청북도제원군","43790"
"충청북도제천군","43795"
"충청북도단양군","43800"
"충청남도","44000"
"충청남도천안군","44050"
"충청남도대전시","44110"
"충청남도대전시","44111"
"충청남도대전시","44113"
"충청남도대전시","44115"
"충청남도천안시","44130"
"충청남도천안시","44131"
"충청남도천안시","44133"
"충청남도공주시","44150"
"충청남도대천시","44170"
"충청남도보령시","44180"
"충청남도온양시","44190"
"충청남도아산시","44200"
"충청남도서산시","44210"
"충청남도논산시","44230"
"충청남도계룡시","44250"
"충청남도당진시","44270"
"충청남도금산군","44710"
"충청남도대덕군","44720"
"충청남도연기군","44730"
"충청남도공주군","44740"
"충청남도논산군","44750"
"충청남도부여군","44760"
"충청남도서천군","44770"
"충청남도보령군","44780"
"충청남도청양군","44790"
"충청남도홍성군","44800"
"충청남도예산군","44810"
"충청남도서산군","44820"
"충청남도태안군","44825"
"충청남도당진군","44830"
"충청남도아산군","44840"
"충청남도천원군","44850"
"충청남도천안군","44860"
"전라북도","45000"
"전라북도금산군","45050"
"전라북도전주시","45110"
"전라북도전주시","45111"
"전라북도전주시","45113"
"전라북도군산시","45130"
"전라북도익산시","45140"
"전라북도이리시","45150"
"전라북도정주시","45170"
"전라북도정읍시","45180"
"전라북도남원시","45190"
"전라북도김제시","45210"
"전라북도완주군","45710"
"전라북도진안군","45720"
"전라북도무주군","45730"
"전라북도장수군","45740"
"전라북도임실군","45750"
"전라북도남원군","45760"
"전라북도순창군","45770"
"전라북도정읍군","45780"
"전라북도고창군","45790"
"전라북도부안군","45800"
"전라북도김제군","45810"
"전라북도옥구군","45820"
"전라북도익산군","45830"
"전라남도","46000"
"전라남도광주시","46010"
"전라남도광주시","46011"
"전라남도광주시","46012"
"전라남도광주시","46013"
"전라남도금성시","46020"
"전라남도송정시","46030"
"전라남도광산군","46050"
"전라남도목포시","46110"
"전라남도여수시","46130"
"전라남도순천시","46150"
"전라남도나주시","46170"
"전라남도여천시","46190"
"전라남도동광양시","46210"
"전라남도광양시","46230"
"전라남도담양군","46710"
"전라남도곡성군","46720"
"전라남도구례군","46730"
"전라남도광양군","46740"
"전라남도여천군","46750"
"전라남도승주군","46760"
"전라남도고흥군","46770"
"전라남도보성군","46780"
"전라남도화순군","46790"
"전라남도장흥군","46800"
"전라남도강진군","46810"
"전라남도해남군","46820"
"전라남도영암군","46830"
"전라남도무안군","46840"
"전라남도나주군","46850"
"전라남도함평군","46860"
"전라남도영광군","46870"
"전라남도장성군","46880"
"전라남도완도군","46890"
"전라남도진도군","46900"
"전라남도신안군","46910"
"경상북도","47000"
"경상북도대구시","47010"
"경상북도대구시","47011"
"경상북도대구시","47012"
"경상북도대구시","47013"
"경상북도대구시","47014"
"경상북도대구시","47015"
"경상북도대구시","47016"
"경상북도신안동시","47020"
"경상북도영주군","47050"
"경상북도포항시","47110"
"경상북도포항시","47111"
"경상북도포항시","47113"
"경상북도경주시","47130"
"경상북도김천시","47150"
"경상북도안동시","47170"
"경상북도구미시","47190"
"경상북도영주시","47210"
"경상북도영천시","47230"
"경상북도상주시","47250"
"경상북도점촌시","47270"
"경상북도문경시","47280"
"경상북도경산시","47290"
"경상북도달성군","47710"
"경상북도군위군","47720"
"경상북도의성군","47730"
"경상북도안동군","47740"
"경상북도청송군","47750"
"경상북도영양군","47760"
"경상북도영덕군","47770"
"경상북도영일군","47780"
"경상북도월성군","47790"
"경상북도경주군","47795"
"경상북도영천군","47800"
"경상북도경산군","47810"
"경상북도청도군","47820"
"경상북도고령군","47830"
"경상북도성주군","47840"
"경상북도칠곡군","47850"
"경상북도금릉군","47860"
"경상북도선산군","47870"
"경상북도상주군","47880"
"경상북도문경군","47890"
"경상북도예천군","47900"
"경상북도영풍군","47910"
"경상북도봉화군","47920"
"경상북도울진군","47930"
"경상북도울릉군","47940"
"경상남도","48000"
"경상남도부산시","48010"
"경상남도부산시","48011"
"경상남도부산시","48012"
"경상남도부산시","48013"
"경상남도부산시","48014"
"경상남도부산시","48015"
"경상남도부산시","48016"
"경상남도창원군","48050"
"경상남도울산군","48060"
"경상남도동래군","48070"
"경상남도창원시","48110"
"경상남도창원시","48120"
"경상남도창원시","48121"
"경상남도창원시","48123"
"경상남도창원시","48125"
"경상남도창원시","48127"
"경상남도창원시","48129"
"경상남도울산시","48130"
"경상남도울산시","48131"
"경상남도울산시","48133"
"경상남도울산시","48135"
"경상남도울산시","48137"
"경상남도마산시","48150"
"경상남도마산시","48151"
"경상남도마산시","48153"
"경상남도마산시","48160"
"경상남도진주시","48170"
"경상남도진해시","48190"
"경상남도충무시","48210"
"경상남도통영시","48220"
"경상남도삼천포시","48230"
"경상남도사천시","48240"
"경상남도김해시","48250"
"경상남도밀양시","48270"
"경상남도장승포시","48290"
"경상남도거제시","48310"
"경상남도양산시","48330"
"경상남도진양군","48710"
"경상남도의령군","48720"
"경상남도함안군","48730"
"경상남도창녕군","48740"
"경상남도밀양군","48750"
"경상남도양산군","48760"
"경상남도울주군","48770"
"경상남도울산군","48775"
"경상남도김해군","48780"
"경상남도의창군","48790"
"경상남도창원군","48795"
"경상남도통영군","48800"
"경상남도거제군","48810"
"경상남도고성군","48820"
"경상남도사천군","48830"
"경상남도남해군","48840"
"경상남도하동군","48850"
"경상남도산청군","48860"
"경상남도함양군","48870"
"경상남도거창군","48880"
"경상남도합천군","48890"
"제주도","49000"
"제주도제주시","49110"
"제주도서귀포시","49130"
"제주도북제주군","49710"
"제주도남제주군","49720"
"제주특별자치도","50000"
"제주특별자치도제주시","50110"
